,nama,unique_user_pertweet,url_pertweet,reply_pertweet,reply_user_pertweet,rt_pertweet,unique_rt_pertweet,verified_user_pertweet,duration,q1_reputation,q2_reputation,q3_reputation,mean_reputation,q1_rasio,q2_rasio,q3_rasio,mean_rasio,q1_umur_akun,q2_umur_akun,q3_umur_akun,mean_umur_akun,q1_follower_rate,q2_follower_rate,q3_follower_rate,mean_follower_rate,q1_following_rate,q2_following_rate,q3_following_rate,mean_following_rate,q1_status_rate,q2_status_rate,q3_status_rate,mean_status_rate,mean_number_in_uname,q1_follower,q2_follower,q3_follower,mean_follower,q1_following,q2_following,q3_following,mean_following,q1_status,q2_status,q3_status,mean_status,mean_mention,JAK_reputation,JAK_rasio,JAK_umur_akun,JAK_follower,JAK_following,JAK_status,JAK_follower_rate,JAK_following_rate,JAK_status_rate
0,#1010Shopeebarengitzy,0.115,0.178,0.947,0.044,0.052,0.002,0.001,3.1,0.0847457627118644,0.324,0.5297157622739018,0.3360623924590775,0.1896551724137931,0.4808259587020649,1.1256830601092895,72.96320232871884,2.3988445081768353,12.019671291447919,58.579104027537255,36.20931963961535,0.7599331071459117,2.231802093097178,29.38546571126496,63.727097717882366,1.8994624496979462,10.516838046181299,65.03824616092628,78.84024713987715,169.4287184766007,370.3732910344289,1499.971733361888,1536.022075359554,1.9015748031496063,11.0,88.0,257.0,939.098,37.0,206.0,318.0,296.201,2171.0,8896.0,36870.25,19968.935,1.089,0.4449699995620374,0.9360278876954964,56.18025951936042,246.0,281.0,34699.25,28.625532604119048,63.13878371122833,1330.5430148852874
1,#17An,0.841,0.086,0.072,0.038,0.838,0.271,0.002,28.833333333333332,0.2249305399999214,0.43788819875776397,0.5160535761367991,0.39538095174183313,0.2992097613405965,0.7797154194151692,1.0661883452542702,30.2825929424266,8.05146067338823,25.215713989107694,87.1493405636894,46.42643757838212,2.4668417019350066,7.124937847062949,28.932807273738753,58.97887501466,4.041333586984006,13.274541067013686,47.31605212200224,81.20687868647634,81.12840168086957,268.27670491352893,714.5385593506307,904.5391499228433,2.627551020408163,74.5,264.5,603.25,2303.147,157.75,345.0,712.0,693.931,1666.0,6420.5,23017.0,28453.166,0.945,0.29112303613687773,0.7669785839136737,79.09787989030117,528.75,554.25,21351.0,26.465965571803746,43.27471853501824,633.4101576697611
2,#23Yearsofinspiring,0.528,0.106,0.319,0.028,0.533,0.146,0.002,207.83333333333334,0.2583156608731732,0.4051172707889126,0.49548182854248446,0.3873716689355217,0.350269160330762,0.6821428571428572,0.9821582875098193,4.516727598085238,12.86862932769933,23.948121415528345,51.19033454181506,38.646982870969296,2.584107944022845,7.933222583507774,19.713533864024846,22.590078972952085,4.826117113834742,11.65017942559848,26.96854085729476,22.934541669287594,135.68965386213966,242.0020681876287,539.3351129372979,538.8956952859921,2.1296758104738154,64.75,190.0,429.0,876.484,150.0,279.0,478.5,418.202,1883.0,5200.0,23409.0,20454.382,1.395,0.23716616766931126,0.6318891271790572,38.32170521411573,364.25,328.5,21526.0,17.129425920002,22.142423743460018,403.64545907515827
3,#32Thrcti,0.355,0.072,0.008,0.008,0.846,0.127,0.0,70.11666666666666,0.12179429698708752,0.2918918918918919,0.574585635359116,0.34284428964269287,0.15384615384615385,0.42857142857142855,1.3333333333333333,3.198295876101479,3.962039204546751,7.012935850078296,20.867472466922663,25.318859314169487,1.0586933457841943,3.9050453263175537,15.900737528031447,30.02969255709206,2.6954655587350516,8.206158820763841,33.47752089599391,984.1482123418979,90.3489662009096,288.8222697262697,812.2359272711064,1318.637946929193,3.36,8.0,46.0,195.5,209.178,37.0,118.0,235.0,198.417,774.0,2308.5,9517.75,8223.333,0.878,0.45279133837202845,1.1794871794871793,16.90543326237591,187.5,198.0,8743.75,14.842044182247253,30.78205533725886,721.8869610701969
4,#4Th_Gen_It_Boy,0.955,0.041,0.009,0.012,0.799,0.295,0.004,0.16666666666666666,0.3242616491594129,0.45797666304977713,0.5410407151342537,0.44038276667274817,0.48092232630418363,0.8450656224692178,1.1786995860806624,3.1479350991934147,14.031362344500192,33.530120969857926,75.51633522781287,48.456915277369006,4.694457792535041,12.770988090523293,43.48549697412574,66.93226285721853,6.968294534015088,17.051264697691906,47.11682913514868,63.43071810779416,184.07115811719933,514.4321647388483,1227.2448466890357,949.750045269208,2.2738589211618256,156.5,462.0,1266.0,2283.796,251.25,555.5,1165.25,1093.575,4808.5,15762.5,42993.0,37207.526,1.07,0.21677906597484076,0.6977772597764788,61.48497288331268,1109.5,914.0,38184.5,38.7910391815907,40.14853460113359,1043.1736885718365
5,#Adzanbukanmainan,0.628,0.146,0.069,0.043,0.614,0.112,0.0,20.116666666666667,0.02564102564102564,0.13636363636363635,0.43283582089552236,0.22504936150063046,0.08918650793650794,0.25806451612903225,0.8388536866359447,0.5661968723365776,1.6417651172394598,7.467650487917844,16.682933351738154,17.626741355629,0.0,0.9788211944178393,9.674198825068823,48.1173144840091,2.8544525796561357,8.546031263642412,35.2324426119547,1516.3079036704032,9.092709142268188,57.16347837086083,226.92726594392346,717.6624190774121,3.3505747126436782,0.0,6.0,118.0,157.909,17.0,51.0,215.25,206.969,16.5,192.0,1540.0,4774.875,0.829,0.4071947952544967,0.7496671786994368,15.041168234498693,118.0,198.25,1523.5,9.674198825068823,32.37799003229857,217.83455680165528
6,#Amankanpondarikstpapua,0.10054347826086957,0.08831521739130435,0.13179347826086957,0.02717391304347826,0.7649456521739131,0.07744565217391304,0.0,129.16666666666666,0.4600093911410236,0.4826762246117085,0.4954128440366973,0.47763300100653167,0.8519269776876268,0.9331026528258363,0.9819277108433735,1.0226872469988486,6.167430713840805,15.4515420880952,92.47831720249788,42.880626168983774,16.068640063623192,82.35837104253261,192.8561375288993,138.3347373054025,19.138365554342254,83.86785579400537,203.36168847054233,138.5409813371658,256.04274140313487,448.4167565114614,1440.3594906113817,1044.2604174098533,1.5687203791469195,808.0,1486.0,4956.75,2961.40625,1061.0,1644.0,3598.0,2799.453804347826,2833.0,16600.0,31676.0,25972.45516304348,0.9619565217391305,0.03540345289567365,0.13000073315574667,86.31088648865708,4148.75,2537.0,28843.0,176.7874974652761,184.2233229162001,1184.3167492082468
7,#Aot139Spoiler,0.651,0.031,0.006,0.006,0.895,0.265,0.0,3.25,0.21641791044776118,0.4207650273224044,0.5182078792349052,0.3833820436978262,0.287183908045977,0.7304864461150427,1.0710849380607486,1.8478316068709433,8.108199423062151,20.338071813779734,47.508691999151246,30.92121510860743,1.9593664796041825,7.537931826101649,39.08579327311674,49.12931082896278,4.609534344824949,12.737273748267237,57.04908621769867,65.8573516192018,75.36890219420968,253.79714121319287,727.2373251645477,677.3074697270282,2.4405940594059405,40.0,153.5,576.0,558.426,107.0,278.5,636.0,553.499,974.25,4665.0,15647.75,15160.78,0.898,0.30178996878714404,0.7839010300147715,39.40049257608909,536.0,529.0,14673.5,37.12642679351256,52.43955187287372,651.868422970338
8,#Appleevent,0.98,0.048,0.057,0.057,0.276,0.137,0.031,0.3,0.2464901811869372,0.45539507221750214,0.6126892850297105,0.45595893910536295,0.3333333333333333,0.8369587903805571,1.5798946368092648,61.90561840944875,28.721358735786648,81.02166368919279,132.61438091359395,80.68742693552915,2.1608109057549996,6.549220749149951,21.05582054829919,79.26429122288411,3.5217451294336013,8.211373394566513,20.674189269836344,33.27092974634988,89.43281938887873,322.90590203532236,885.4993454440969,762.3002002745891,2.3993506493506493,116.5,433.0,1329.5,5533.676,190.75,497.0,1063.5,1027.2,3600.75,18684.0,63803.25,53514.331,0.323,0.3661991038427733,1.2465613034759315,103.8930221778073,1213.0,872.75,60202.5,18.895009642544192,17.152444140402743,796.0665260552182
9,#Australiaberbohong,0.967,0.899,0.022,0.003,0.056,0.017,0.0,80.18333333333334,0.06751412429378531,0.3333333333333333,0.4930949332357783,0.3110518249331664,0.2222222222222222,0.5714285714285714,1.0,1.202146987127884,3.5934975278981316,5.014512238064056,7.946037088753058,17.19632827352909,0.010531297677686003,0.8783465156005945,6.524868286806175,11.243444608088257,0.8689288145622862,3.4954728754947837,13.078499591834644,31.741229458295344,29.055190759677377,44.41709706411615,72.1910616367895,102.8415084203332,2.9375,1.0,6.0,45.0,88.135,5.0,21.0,73.25,123.226,128.0,209.0,354.25,1230.547,0.082,0.425580808941993,0.7777777777777778,4.352539560854926,44.0,68.25,226.25,6.514336989128489,12.209570777272358,43.135870877112126
